id,doc_id,article_number,lang,text,keyword_label,top_scores,label,truncated,note_revision
136,BO_7454_Fr,4,fr,"Par dérogation aux articles 5 et 8 ci-dessous,
l'autorité gouvernementale chargée de la transition numérique
et de la réforme de l'administration peut, à son initiative,
conclure des conventions avec l'autorité gouvernementale
chargée des finances et avec des acteurs ou avec des institutions
internationales, pour la réalisation des projets et opérations
visés à l'article 18 de la loi de finances précitée n° 50-22 pour
l'année budgétaire 2023.
formes et modalités du versement et d'octroi de l'appui
du Fonds de modernisation de l'administration publique,
d'appui à la transition numérique et à l'utilisation de
l'amazighe.
LE CHEF DU GOUVERNEMENT,
Chapitre II
Vu la Constitution, notamment son article 90 ;
Modalités de dépôt de la demande d'appui
Vu la loi de finances n° 50-22 pour l'année budgétaire
2023, promulguée par le dahir n° 1-22-75 du 18 joumada I 1444
(13 décembre 2022), notamment son article 18 ;
et le versement des montants du fonds",Administratif,"Administratif=2, Environnement=2, Fiscal=0",Administratif,False,
137,BO_7454_Fr,5,fr,"L'avis d'appel à projets pour la réception des
demandes est lancé sur la plateforme électronique du fonds,
dans le cadre des axes prioritaires et selon les domaines
figurant au plan d'action annuel visé à l'article 2 ci-dessus :
Après délibération en Conseil du gouvernement, réuni
le 15 ramadan 1444 (6 avril 2023),
DÉCRÈTE :
1- pour les départements ministériels ou institutions,
concernant les projets et opérations à réaliser ;
Chapitre premier
2- pour les collectivités territoriales, les établissements
ou entreprises publics, il est procédé à la réception des
demandes d'appui pour les projets et opérations à réaliser ;
Dispositions générales",Administratif,"Administratif=2, Commercial=1, Environnement=1",Administratif,False,
138,BO_7454_Fr,PREMIER,fr,"En application des dispositions de
l'article 18 de la loi de finances susvisée n° 50-22 pour l'année
budgétaire 2023, le présent décret fixe les formes et modalités
des versements des montants et d'octroi de l'appui du compte
d'affectation spéciale intitulé « Fonds de modernisation de
l'administration publique, d'appui à la transition numérique
et à l'utilisation de l'amazighe » désigné ci-après fonds.
3- pour le secteur privé, les associations, les coopératives
et les établissements et instituts de formation, il est procédé
à la réception des demandes de candidature pour bénéficier
de l'appui du fonds pour les projets et opérations à réaliser.
Les demandes sont déposées obligatoirement via la
plateforme électronique du fonds visée à l'article 2 ci-dessus,
dans un compte spécial ouvert au profit des acteurs, sur tout
support et par tout moyen attestant la réception.
Au sens du présent décret, sont acteurs bénéficiaires
du fonds, les départements ministériels et institutions, les
collectivités territoriales, les établissements publics, les
entreprises publiques, le secteur privé, les associations, les
coopératives et les établissements et instituts de formation.
Les demandes précitées sont accompagnées d'un dossier
comportant les documents et informations nécessaires à
l'accomplissement des projets et opérations à réaliser. Les
documents et informations obligatoires à inclure dans les
dossiers des demandes précités ci-dessus sont fixées par arrêté
conjoint de l'autorité gouvernementale chargée de la transition
numérique et de la réforme de l'administration et de l'autorité
gouvernementale chargée des finances.",Administratif,"Administratif=4, Environnement=3, Commercial=1",Administratif,False,
139,BO_7454_Fr,2,fr,"L'autorité gouvernementale chargée de la
transition numérique et de la réforme de l'administration, en
coordination avec l'autorité gouvernementale chargée des
finances, établit le plan d'action annuel du fonds sur la base
des orientations stratégiques dans lesquelles sont inscrites les
opérations relatives à la modernisation des services publics,
à la transformation numérique et à l'utilisation de la langue
amazighe. Ce plan d'action peut être actualisé au cours de
l'année.",Administratif,"Administratif=1, Fiscal=0, Social=0",Administratif,False,
140,BO_7454_Fr,6,fr,"Les projets et opérations déposés pour
bénéficier de l'appui du fonds sont examinés par le comité
interministériel prévu au chapitre III ci-dessous.
Le plan d'action annuel du fonds comprend les axes
prioritaires éligibles à l'appui et les crédits alloués à chaque
axe dans la limite des crédits disponibles au cours de l'année.",Environnement,"Environnement=1, Fiscal=0, Social=0",Administratif,False,
141,BO_7454_Fr,7,fr,"Le président du comité interministériel notifie
aux acteurs concernés, la décision du comité concernant les
demandes d'appui des projets et opérations et les informe de
l'acceptation ou le rejet de leurs demandes sur leur compte de
la plateforme électronique du fonds.
Le plan d'action est publié sur la plateforme électronique
du fonds www.fomap.ma avant le dix (10) janvier de chaque
année et lors de chaque actualisation.",Indéterminé,"Fiscal=0, Social=0, Administratif=0",Administratif,False,
142,BO_7454_Fr,8,fr,"Dès la réception de l'acceptation de la demande
d'appui, une convention est conclue avec les acteurs prévus aux
paragraphes 1 et 2 du premier alinéa de l'article 5 ci-dessus.
Pour les acteurs prévus au paragraphe 3 du premier alinéa
de l'article 5 ci-dessus, la convention est conclue sur la base
d'un accord préalable se rapportant aux projets et opérations
à réaliser.",Indéterminé,"Fiscal=0, Social=0, Administratif=0",Administratif,False,
143,BO_7454_Fr,3,fr,"Les critères et conditions d'examen des projets
et opérations proposés pour bénéficier de l'appui du fonds sont
fixés par arrêté conjoint de l'autorité gouvernementale chargée
de la transition numérique et de la réforme de l'administration
et de l'autorité gouvernementale chargée des finances, selon
les domaines et les axes prioritaires éligibles à l'appui.
Nº 7454 – 14 joumada I 1447 (6-11-2025)
Les conventions précitées sont conclues entre les acteurs
bénéficiaires de l'appui du fonds, l'autorité gouvernementale
chargée de la transition numérique et de la réforme de
l'administration et l'autorité gouvernementale chargée des
finances, dans un délai n'excédant pas 30 jours à compter de
la date de l'information des acteurs concernés de l'acceptation
de leurs dossiers.
– de l'acceptation de la demande avec indication du
montant de l'appui ;
– ou des remarques indiquant les non-conformités ou
insuffisances qui ont été constatées lors de l'examen des
documents du dossier des demandes ou lors d'enquête
sur terrain pour contrôler les étapes de réalisation des
projets ou opérations. Dans ce cas, sous peine du rejet
de la demande des acteurs, ils doivent satisfaire les
remarques précitées dans les délais fixés.",Environnement,"Environnement=3, Administratif=2, Pénal=2",Administratif,False,
144,BO_7454_Fr,9,fr,"La demande de versement du montant
de l'appui doit être déposée, par les acteurs prévus aux
paragraphes 1 et 2 du premier alinéa de l'article 5 ci-dessus,
dans un délai n'excédant pas douze (12) mois à compter de la
date de signature de la convention. Ce délai peut être prolongé
une seule fois, à condition qu'une demande de prolongation
soit déposée sur la plateforme électronique du fonds avant
l'expiration dudit délai, accompagnée d'un dossier justifiant
les motifs de la demande de prolongation.",Indéterminé,"Fiscal=0, Social=0, Administratif=0",Administratif,False,
145,BO_7454_Fr,13,fr,"Les montants d'appui du « fonds de
modernisation de l'administration publique, d'appui à la
transition numérique et à l'utilisation de l'amazighe », sont
versés, selon les modalités fixées par les textes législatifs et
réglementaires en vigueur et les conventions conclues au profit :
– des acteurs et institutions internationales ayant conclu
La demande de versement précitée est déposée,
accompagnée d'un dossier, via leur compte sur la plateforme
électronique du fonds, par tout support et par tout moyen
attestant la réception.
la convention visée à l'article 4 ci-dessus ;
– des acteurs ayant conclu la convention visée à l'article 8
ci-dessus.",Administratif,"Administratif=1, Environnement=1, Fiscal=0",Administratif,False,
146,BO_7454_Fr,10,fr,"Les demandes de versement des montants de
l'appui doivent être déposées après la réalisation des projets et
opérations objet de l'accord préalable par les acteurs prévus au
paragraphe 3 du premier alinéa de l'article 5 ci-dessus selon les
conditions et dans les délais définis dans la convention signée.
Les taux et plafonds des montants d'appui sont fixés
par arrêté conjoint de l'autorité gouvernementale chargée de
la transition numérique et de la réforme de l'administration et
de l'autorité gouvernementale chargée des finances.
Lesdites demandes de versement, accompagnées d'un
dossier, sont déposées sur leur compte de la plateforme
électronique du fonds, par tout support et par tout moyen
attestant la réception.
Le versement est effectué sur le compte bancaire  propre
au bénéficiaire pour le secteur privé, les associations, les
coopératives, les établissements et instituts de formation et
les institutions internationales.",Environnement,"Environnement=2, Administratif=1, Fiscal=0",Administratif,False,
147,BO_7454_Fr,11,fr,"Les dossiers des demandes de versement des
montants aux acteurs bénéficiaires de l'appui du fonds doivent
comprendre :
Chapitre III
Le comité interministériel chargé de l'examen
des projets et opérations
– pour les départements ministériels ou institutions,
les collectivités territoriales, les établissements ou
entreprises publics, les documents attestant les
montants définitifs des projets et opérations admis par
le comité ;",Administratif,"Administratif=2, Commercial=1, Environnement=1",Administratif,False,
148,BO_7454_Fr,14,fr,"Un comité interministériel est institué, désigné
ci-dessous « comité », présidé par l'autorité gouvernementale
chargée de la transition numérique et de la réforme de
l'administration, ou de son représentant, chargé de l'examen
des projets et opérations déposés pour bénéficier de l'appui
du fonds.
– pour le secteur privé, les associations, les coopératives,
les établissements et instituts de formation, les
documents se rapportant à la réalisation des projets
et des opérations.
Le comité comprend les représentants suivants :
– un représentant du chef du gouvernement ;
Les documents et informations obligatoires à fournir,
accompagnant les demandes de versement des montants
d'appui, sont fixées par arrêté conjoint de l'autorité
gouvernementale chargée de la transition numérique et de la
réforme de l'administration et de l'autorité gouvernementale
chargée des finances.
– un représentant de l'autorité gouvernementale chargée
des finances ;
– un représentant de l'autorité gouvernementale chargée
de l'intérieur, lorsqu'il s'agit de l'examen des projets
ou opérations se rapportant à l'utilisation de la
langue amazighe ou ceux concernant les collectivités
territoriales ;",Administratif,"Administratif=4, Fiscal=0, Social=0",Administratif,False,
